quality sub-characteristic	Practice	Annotator_1	Annotator_2	Annotator_3	Annotator_4	Annotator_5	Annotator_6	Annotator_7	Annotator_8	Annotator_9	Annotator_10	Annotator_11	Annotator_12	Annotator_13
accuracy	logging of metadata and artifacts	0	0	0	0	0	0	0	0	0	0	0	0	0
effectiveness	logging of metadata and artifacts	0	0	0	0	0	0	0	0	0	0	0	0	0
responsiveness	logging of metadata and artifacts	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	logging of metadata and artifacts	3	2	0	1	1	4	1	0	3	4	3	1	3
cost-effectiveness	logging of metadata and artifacts	0	0	0	0	0	0	0	0	0	0	0	0	0
efficiency	logging of metadata and artifacts	0	0	0	0	0	0	0	0	0	0	0	0	0
availability	logging of metadata and artifacts	2	0	0	1	3	2	1	0	2	3	1	1	0
resilience	logging of metadata and artifacts	0	0	0	0	0	0	0	0	0	0	0	0	0
adaptability	logging of metadata and artifacts	0	0	0	0	0	0	0	0	0	0	0	0	0
scalability	logging of metadata and artifacts	0	0	1	0	0	0	1	0	4	0	1	3	0
extensibility	logging of metadata and artifacts	3	2	1	0	1	1	1	0	3	2	0	2	0
maintainability	logging of metadata and artifacts	4	2	1	1	3	4	3	0	3	4	0	4	0
modularity	logging of metadata and artifacts	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	logging of metadata and artifacts	0	0	1	0	1	2	1	1	3	3	3	4	2
deployability	logging of metadata and artifacts	0	0	3	2	0	4	3	0	0	3	0	4	0
repeatability	logging of metadata and artifacts	4	4	4	1	0	4	2	0	4	1	3	3	4
operability	logging of metadata and artifacts	0	0	1	1	0	4	2	1	0	0	0	3	0
monitoring	logging of metadata and artifacts	3	3	0	0	4	1	2	3	3	4	3	4	0
discoverability	logging of metadata and artifacts	3	1	0	0	0	0	1	0	0	0	0	1	0
readability	logging of metadata and artifacts	0	2	0	0	3	0	0	1	4	0	1	0	0
traceability	logging of metadata and artifacts	4	2	4	4	3	4	2	4	0	0	4	0	4
understandability	logging of metadata and artifacts	2	1	1	0	3	0	0	3	4	0	2	0	3
usability	logging of metadata and artifacts	0	1	0	0	3	0	0	3	3	1	1	0	0
debuggability	logging of metadata and artifacts	3	3	2	1	3	3	2	4	4	4	3	4	3
explainability	logging of metadata and artifacts	0	2	2	0	3	0	0	3	4	0	3	3	3
fairness	logging of metadata and artifacts	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	logging of metadata and artifacts	0	1	1	0	0	1	2	1	1	0	0	0	0
standards-compliance	logging of metadata and artifacts	2	0	0	2	0	1	2	0	3	2	1	0	2
vulnerability	logging of metadata and artifacts	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	code versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
effectiveness	code versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
responsiveness	code versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	code versioning	0	2	0	1	3	4	3	3	4	4	2	3	4
cost-effectiveness	code versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
efficiency	code versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
availability	code versioning	2	3	0	1	3	1	1	0	1	1	1	0	3
resilience	code versioning	2	0	0	1	3	0	1	2	1	3	1	2	0
adaptability	code versioning	0	3	2	1	3	0	1	0	2	0	1	2	4
scalability	code versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	code versioning	1	4	3	1	3	4	1	1	3	1	3	2	4
maintainability	code versioning	3	4	4	2	3	4	2	3	4	4	3	3	4
modularity	code versioning	0	4	3	0	0	0	0	0	0	0	0	0	0
testability	code versioning	0	1	2	3	3	4	2	3	2	3	3	4	0
deployability	code versioning	0	0	3	1	3	4	3	3	4	2	3	4	1
repeatability	code versioning	2	3	4	3	3	4	3	2	4	0	2	3	4
operability	code versioning	0	0	2	0	3	3	3	3	4	0	4	3	1
monitoring	code versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	code versioning	0	3	2	2	3	4	1	0	4	0	1	1	0
readability	code versioning	2	3	1	1	1	4	1	0	3	1	0	0	0
traceability	code versioning	3	3	4	1	3	4	2	3	4	2	0	1	1
understandability	code versioning	1	2	3	1	0	4	0	0	2	0	0	0	1
usability	code versioning	0	1	2	1	0	1	2	1	1	0	1	0	0
debuggability	code versioning	1	1	3	0	3	4	3	3	4	3	3	3	4
explainability	code versioning	0	0	1	0	0	3	1	3	2	0	1	0	1
fairness	code versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	code versioning	0	3	3	2	3	4	1	4	4	0	1	4	0
standards-compliance	code versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	code versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	data versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
effectiveness	data versioning	1	0	0	0	0	0	1	0	3	4	0	1	0
responsiveness	data versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	data versioning	0	0	2	0	0	3	1	0	4	1	0	1	4
cost-effectiveness	data versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
efficiency	data versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
availability	data versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
resilience	data versioning	2	0	0	0	3	1	2	1	4	1	0	3	0
adaptability	data versioning	0	0	3	1	0	0	2	0	3	1	0	2	0
scalability	data versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	data versioning	0	2	3	0	0	0	2	0	3	0	0	2	0
maintainability	data versioning	2	2	1	0	0	2	2	4	4	1	0	4	2
modularity	data versioning	0	2	0	0	0	1	1	2	1	0	0	3	2
testability	data versioning	0	0	1	2	3	0	1	3	1	2	3	4	2
deployability	data versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	data versioning	3	4	4	3	0	4	3	3	4	0	3	2	4
operability	data versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	data versioning	0	1	0	0	0	1	2	3	3	3	3	3	1
discoverability	data versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	data versioning	0	1	1	0	0	0	0	3	3	0	1	1	0
traceability	data versioning	4	1	4	3	3	4	2	3	4	1	3	3	0
understandability	data versioning	1	1	1	0	0	0	0	2	3	0	1	0	0
usability	data versioning	0	1	0	0	0	0	0	3	2	0	1	0	0
debuggability	data versioning	3	0	1	2	1	2	1	4	2	4	3	3	0
explainability	data versioning	0	0	2	0	1	0	0	4	3	0	1	1	0
fairness	data versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	data versioning	0	3	1	1	0	0	2	0	1	0	1	4	0
standards-compliance	data versioning	0	0	3	1	3	1	0	3	3	1	1	4	1
vulnerability	data versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	model versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
effectiveness	model versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
responsiveness	model versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	model versioning	1	1	0	3	3	4	2	1	4	1	1	4	0
cost-effectiveness	model versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
efficiency	model versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
availability	model versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
resilience	model versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
adaptability	model versioning	0	0	1	1	3	0	1	0	1	1	1	1	0
scalability	model versioning	0	0	3	0	0	0	1	0	0	1	0	3	0
extensibility	model versioning	0	2	2	0	1	1	2	1	3	1	1	1	0
maintainability	model versioning	1	2	1	3	3	4	2	3	4	4	3	4	3
modularity	model versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	model versioning	0	0	1	2	0	2	1	1	1	4	3	4	1
deployability	model versioning	0	4	3	1	3	4	2	3	4	4	3	4	3
repeatability	model versioning	4	4	4	1	0	3	2	0	4	3	3	1	0
operability	model versioning	0	4	4	3	0	4	2	3	4	3	3	3	3
monitoring	model versioning	0	0	1	0	0	0	2	0	3	3	2	1	0
discoverability	model versioning	0	3	3	0	0	0	1	3	2	1	0	4	0
readability	model versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	model versioning	4	0	4	3	0	4	3	4	1	4	0	2	3
understandability	model versioning	1	0	0	0	0	0	1	4	1	4	0	1	0
usability	model versioning	0	2	0	2	1	0	1	3	2	3	1	0	0
debuggability	model versioning	3	0	1	0	0	0	2	2	2	2	3	4	3
explainability	model versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	model versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	model versioning	0	4	2	0	0	0	0	0	0	0	0	0	0
standards-compliance	model versioning	0	0	3	0	0	2	1	3	3	4	0	1	0
vulnerability	model versioning	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	documentation	0	0	0	0	0	0	0	0	0	0	0	0	0
effectiveness	documentation	0	0	0	0	0	0	0	0	0	0	0	0	0
responsiveness	documentation	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	documentation	4	4	3	3	4	4	3	2	3	4	3	4	3
cost-effectiveness	documentation	0	0	0	0	0	0	0	0	0	0	0	0	0
efficiency	documentation	0	0	0	0	0	0	0	0	0	0	0	0	0
availability	documentation	0	0	0	0	0	0	0	0	0	0	0	0	0
resilience	documentation	0	0	0	0	0	0	0	0	0	0	0	0	0
adaptability	documentation	0	0	2	1	4	0	1	0	2	2	1	2	3
scalability	documentation	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	documentation	2	4	2	3	3	1	2	2	2	4	2	4	3
maintainability	documentation	2	4	2	3	3	4	3	1	3	4	3	4	3
modularity	documentation	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	documentation	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	documentation	0	2	0	3	3	1	2	0	3	4	2	2	1
repeatability	documentation	0	4	2	3	3	1	3	0	2	4	2	2	3
operability	documentation	0	3	0	0	3	3	3	0	3	4	2	1	0
monitoring	documentation	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	documentation	0	4	3	4	4	4	3	1	4	4	3	3	2
readability	documentation	0	2	4	2	3	4	4	3	4	4	3	3	0
